Name,Pick,Strengths,Weaknesses,Height,Weight,Age
John Wall,1,"One of the most electrifying players to come out of the college ranks in years … Has an heir of supremacy/confidence that only the truly great ones possess … His speed in the open floor and first step blow by ability is absolutely jaw dropping … His body control and ability to make plays around the rim as well as find teammates with passes while playing at such a break neck speed is what sets him apart. At first you think he’s out of control but he actually makes great decisions while playing at such a fast pace … Fearless attacking the basket off the dribble and seems to find a space in the defense when it isn’t there … His ability to contort his body and finish from all angles around the basket with both hands borders on the absurd … There is a ton of room for growth and improvement, and his style of play (SPEED) is tailor made for the NBA level … Point guards with his size and athleticism are rare, Rose and Westbrook are two of the most athletic lead guards to come along in years, and Wall has some of each of their attributes … Possesses elite athletic ability with unusual length and explosiveness for a point guard … Excellent finisher in transition with both hands and his speed and ability to change direction allows him to get any place he wants on the floor … Pushes the ball up the floor as well as any 6-foot point guard … Can become dominant at both ends of the floor being able to use his length as both a defensive stopper and above average rebounder from the wing … An excellent passer, particularly on the move. Can pick a part a defense setting up teammates for easy scores using his great vision, and creativity … A true floor general, not just an athlete masquerading as a point … Huge hands give him excellent command of the basketball … Good ball handler with either hand … A ball hawk able to rip opposing point guards using his quick hands and feet and long arms. Excellent anticipation on passes contributed to his 1.8 steals per game … Shows leadership ability and will look to become a more vocal leader as he matures … Has a chance to be a merchandising phenomenon with his incredible talent and charisma …","Similar to Derrick Rose entering the league, Wall’s jumpshot is a work in progress … Shooting is the easiest skill to improve upon in the league and Wall’s shooting form is not horrible, but it will require some tweaking and hard work (repetition) in the gym to become a real strength to his game … Wall is not a good set shooter, preferring to create a rhythm using the bounce. His shot lacks great lift and is a little slow to get off. His form and release are decent, but should look to get a little more trajectory … At times it appears Wall is too caught up in impressing instead of focusing on the ultimate goal of winning … More comfortable operating in the open floor than in the half court … Will need to hone his pick and roll skills and half court command of the game … His ability to get into the lane and make plays around the basket in the half court game is more effective than his jump shooting … While possibly even quicker than Rose, he lacks the same body strength and ability to absorb contact. Adding some core body strength would allow him to finish stronger around the rim … Gets careless passing the ball at times. 4 turnovers per game show his lack of ball protection and that his point guard skills are still raw. His 1.6 a/to ratio is solid for a freshman but should be better for such an elite level player … Wall is blessed with such incredible physical gifts that it will be up to him to put in the work to get the most out of his abilities. Too often the most talented players aren’t the ones willing to work the hardest, and at such a young age it’s too early to definitively say whether he ""wants it"" … Competitive player, but will need to develop his killer instinct and ability to take over at the end of games …",76,196,19.81
Evan Turner,2,"Big combo guard with great versatility and a tremendous feel for the game … Extremely smooth with the ball in his hands and has a bag of tricks offensively … His handles are that of a point guards and he has a terrific ability of getting to the basket … Has supreme confidence with the ball in his hands, excellent handle and a nasty crossover … Slick mid-range game with the ability to change directions and get defenders off balance to create looks … Good upperbody strength allows him to absorb contact and make plays at the rim … Strong finisher. Very adept at finishing after contact. Also utilizes the glass effectively … Has a nifty runner when he meets up with shot blockers in the paint … Understands how to use his body to shield the ball from opponents … Has a great pull up jumper and his ability to drive really sets up his ability to pull up for shots … Utilizes the spin dribble to get by opponents effectively and into the paint … Creative playmaker with the ability to find others for shots when his path to the basket gets cut off … Solid vision and a good passer capable of finding the open man … An above average athlete with good speed and long arms … Makes a lot of impressive plays at the basket using excellent body control and creativity … A solid shooter with good form … Has a big wingspan (near 7-foot). His long arms allow him to disrupt passing lanes … Draws a lot of fouls on drives due to his aggressiveness … Runs down a lot of loose balls and makes plays based on sheer desire and hustle … Plays with a high level of intensity at all times no matter the game situation … A student of the game who studies past greats and appears to have a great understanding … Solid free throw shooter at 79% …","Not a freak athlete, but above average by NBA standards with great length … At times appears to be susceptible to being thrown off his game by physical play … A better scorer than shooter, while Turner shot 44% from 3 as a sophomore it was on a low volume of shots … Should look to improve his catch and shoot ability and expand his range and consistency from the perimeter … His effectiveness going towards the basket with the ball probably keeps him from polishing his outside game, but with such efficiency driving it’s hard to ask him to shoot more from the perimeter … Struggled in the clutch in OSU’s loss to Siena in the tournament … At times can fall in love with the dribble and become too ball dependent, but he’s very effective so that’s nit picking to a degree … His creativity can lead to being a little careless passing the ball … Not great at setting defenders up off of screens and shooting spot up. He prefers to create a rhythm with the ball in his hands dribbling off screens or creating off isolation …",79,214,21.67
Derrick Favors,3,"Explosive athlete with unique combination of power and quickness … Possesses an extraordinary wingspan, with Georgia Tech official website claiming a 9-1 standing reach … Tremendous leaping ability … Frequent target of the alley-oop pass and seemingly nothing is out of reach. Soft hands allow him to corral passes most bigs would muff … Runs the floor like a gazelle showing great speed from baseline to baseline … Finishes with power around the rim – a dunking machine … Has made dramatic advancements in his post game repertoire and footwork … Features a drop step into the lane for a mini right hook and quick spins to either side of the floor … Cat quick in the post. Displays a deft touch with his left hand around the basket, almost inclined to use his off hand … Has a nice looking stroke out to 12-15 feet, but does not appear overly comfortable … Appears relaxed at the free throw line shooting 73% early on … An absolute vacuum on both the offensive and defensive backboards. Averaging 8.3 rebounds through his first seven collegiate games in 24 minutes of action (4.4 def and 3.9 off) …  A shot blocking menace (5 per game as a HS senior and 2 per game early this season) … Alters countless other attempts … His mere presence makes opponents think twice before driving inside … Not a boastful personality, but rather allows his game to do the talking … Excellent student and quick learner.","Has done a good job adding bulk to his frame, but needs to continue to get stronger … Needs to increase trajectory on his jumper and increasing his range would be beneficial … Ball handling is decent for a big, but must be improved to augment his face up game … Continued advancement of his footwork and comfort level in the post … Seems to predetermine moves rather than reacting to the defense … Does not handle double teams well … Needs to slow the game down and not panic … Not a great passer out of the post. Has relied heavily on his athletic gifts up to this stage against inferior competition … Needs to work harder and understand court positioning … Can be lazy at times defensively and on the boards depending on his length and leaping ability … Stands too upright and his lateral movement is sloppy … His conditioning has been questioned, often tiring in the latter stages of games.",82,245,18.96
Wesley Johnson,4,"Wes has all the tools, and fits the description of your classic athletic small forward … He’s quick and slippery when maneuvering in the lane … At 6’7, he has a huge wingspan (easily over 7′ feet), and tremendous leaping abilities which allow him to rise above traffic around the rim … He has a smooth and fluent motion on his jump shot, and gets nice elevation … Has a strong mid-range game that will only get better … Can spot up from short or deep, but seems to excel at shooting off one dribble after his quick first step enables him to create space between him and his defender… When he doesn’t shoot off the dribble, he uses an effective jab step to create separation and get off his shot, a must-have tool for a scoring small forward in the NBA … Also has deep range with a high and quick release, and his consistency will only improve – his 3 point percentage has gradually risen from 29% to 33% to 39% respectively in each of his 3 years… He shoots 50% from the field overall, and does not need 20 plus shots to be effective … Extremely unselfish, the offense rarely becomes stagnant when the ball is in his hands, a tendency other teams have when their go-to player tries to isolate himself … An underrated passer showing excellent vision and passing skills for a 3 … He moves extremely well off the ball, and does a great job of getting himself open off back screens … Wes can run the floor and finish effectively in transition … His quickness, awareness and long wingspan come into play defensively as well, as he is a terrific off-ball and help defender … Can quickly move from the weak-side to ball-side, and uses those long arms and high leaping abilities to block an average of 2 shots per game … He’s athletic and long enough to play effective on-ball defense at the next level … His wingspan and leaping abilities also make him an excellent rebounder, and his persistent nature and good nose for the ball make him a pest on theoffensive glass …","Sometimes Wes settles or relies too much on his jump shot, and when it’s not on that day, he can disappear for long stretches throughout the game … Needs to bulk up- when guarded by stronger defenders, he tends to pull back for tougher jump shots as opposed to taking it strong and drawing the foul … Attempts less than 4 free throws per game … Tries to get out of slumps by shooting jumpers instead of being more aggressive … Has not developed much of a back-to-the-basket game yet, but his skills, high release and length give him a shot to develop a post game over time … Has trouble creating off the dribble, most of his opportunities come after one dribble or a catch and shoot … Not much of a playmaker, his ball handling skills are average, and he tends to throw the ball away too often … He’s 23 years old, so his upside and potential might take a hit when GMs look at guys who are up to 3 years younger …",79,206,22.97
DeMarcus Cousins,5,"A physical mismatch in almost every sense. Cousins’ size, power, length and reflexes give him the ability to do things even when he’s not in position to do them … An underrated athlete, despite lacking great explosiveness, he’s extremely nimble and dexterous for such a huge man … His great hands and soft touch, along with his monstrous (7-foot-6) wingspan, allow him to finish easily around the rim … His feet are very quick for a player with so much weight allowing him to react to plays very well … Has a diverse skill set offensively, to go along with great footwork in the paint that makes him much more than just a big body … Extremely adept at finishing after contact … Feels he can score almost every time he gets the ball in the post. He can create for himself with a variety of offensive moves whether its facing up or with his back to the basket … Uses his strength well to overpower opponents and create space to score … Scores about 16 points, gathers 10 rebounds and shoots over 7 free throws in only 23 minutes per game, showing his efficiency and desire to stay active… He is capable of knocking down mid-range jumpers and with his huge wingspan can shoot it over just about anyone … Defensively he can block shots from the weak side as well as on the ball due to his length, and dominate the boards at the college level, while eating up more space than anyone on the court… He’s a defensive presence even if he just stands there with his hands up protecting the rim … Although he averages just 1 assist per game, Cousins shows remarkable passing ability and vision for a bigman. Also can handle the ball very well, even in the open court when called upon. Surprising ball skills for a bigman … Has a mean streak which scouts like to see, he just needs to learn to channel it in a positive way …","Cousins’ lack of maturity and mental focus is evident in his negative body language and lack of composure … He tends to lose his head, looking disinterested or frustrated if things don’t go his way. Also does not appear receptive to coaching, tuning out his coaches when they attempt to give him advice on the bench …  The big question is whether it’s merely a lack of maturity due to age or something deeper … To his credit he made it through the entire season without any suspensions or ejections. However, there were a few times (flagrant fouls) where he may have deserved to be … Free throw shooting, while showing solid form, goes through bouts of inconsistency due to lack of focus.(appears to decrease as games progress) … Occasionally forces the issue when its not there, and tries things that are out of his range … His lateral movement could be a liability when guarding more agile players that can put the ball on the floor … He lacks explosiveness, sometimes looking like he has weights on his feet, which could hurt him offensively as well as when facing up against more versatile big men in the NBA … Lack of great explosiveness also decreases his shot blocking to some extent … Tends to not hustle back on defense and disappear when his head is not in it … Weight could be an issue if he does not learn to become disciplined about diet and off court habits … Will basketball be his primary focus, or living life in the fast lane that accompanies it?",83,292,19.88
Ekpe Udoh,6,"Skilled power forward with a long, lean frame. Has a 7’4 1/2 wingspan … Nicknamed ""The Nightmare"" for his demonic shot blocking prowess (3.7 per game as junior) … Views swatting shots as an art form – always taking proper angles, never leaving his feet until his opponent does, can block shots with either hand and keeps balls in play … Tremendous offensive rebounder as a result of his length and quickness off the floor (3.6 off, 9.8 total) … Exhibits solid agility on the perimeter, able to stay in front of quicker guards on pick and roll switches … Moves his feet well and lateral quickness is much improved … Has made dramatic developments in his offensive repertoire since his sophomore season at Michigan … Much more aggressive looking to score (14 ppg) … Shows the ability to face up opponents with his quick first step and new and improved ball handling skills … His passing ability and court vision have been a revelation, often acting as a facilitator in Baylor’s offense (2.7 ast) … Reads double teams well and finds the open man. His post skills are on the incline exhibiting solid foot work and a series of quick moves … Prefers a one power dribble jump hook. Has nice touch on his short range and mid-range jumper … Has shown flashes of range this season knocking down 7 three pointers. Shooting form is near textbook … Runs the floor very well for a big. His work ethic can be easily detected in his development as a player in a short period of time … Has developed some face the basket skills, but will never be confused for being a small forward …","Despite improvements, still has a very raw offensive game … Has the skills, but many subtleties are not yet second nature. Not smooth in the post, often looking uncomfortable and indecisive on what move to attempt … What is his offensive game? Can do a variety of things, but has no real go to move … Has struggled with turnovers problems, attempting low percentage passes and overdribbling (2.4 to) … Needs to add weight and get stronger, especially in his lower body … Has difficulty holding his ground on defense and maintaining interior position on offense … Does not finish plays through contact … Only attempted 4.5 free throws per game last season … A solid run/jump athlete but lacks explosiveness. Effort on the defensive backboard can be questioned- lackadaisical on box out assignments quite frequently … Does not play with a killer instinct and needs to get tougher … Will turn 23 in May making his upside somewhat limited. Ability to add significant strength at this stage of his development is doubtful.",82,237,23.11
Greg Monroe,7,"Multifaceted lefty big-man with the skill set of a guard … The Georgetown’s Princeton style offensive system goes through him making him the primary decision maker … Unique set of skills. Excellent passer, almost unselfish to a fault. Displays great court vision and knowledge of teammates positioning on the court (2.7 assists per game) … Sneaks passes into extremely tight quarters with perfect placement … Handles the ball very adroitly, especially going to his natural left side … Possesses a versatile offensive game … Has the ability to face up and put the ball on the deck or take opponents into the post … Does not have a singular go to post move, but his unorthodox lefty style allows him to get to his comfort spots … His jump shot is pleasing to the eye, but he rarely shows it … On occasion has shown range out to the college three … Has shown increased aggression attacking the basket midway through his sophomore season … Taking 6 free throw attempts as a sophomore compared to 4.8 as a frosh … Added 25 pounds of muscle toward the end of his High School career … Has very broad shoulders and solid frame … His effort on the boards has been tremendous, turning a once looked upon weakness into a strength (10.2 rpg as a sophomore) … He’s quick off his feet and rebounds well out of his area … Possesses great length with a 7’2 wingspan … Disruptor in the paint with his shot blocking ability (1.6 blocks per game) … Very quick hands (1.7 steals per game) … Runs the floor exceedingly well for a man his size. Solid speed from end to end when he hustles … Has an awkward yet effective style and by all accounts a solid character …","Takes a passive approach to the game … Rarely looks to dominate, choosing rather to take what comes to him and often defers to others. (In fairness, the Georgetown system stresses team play and limits individual creativity) … Lacks the killer instinct to bury his opponent … Often times look disinterested in playing and appears he would rather be some place else … Does not possess explosive athletic ability … His quickness and leaping ability are ordinary by NBA standards … Despite putting on weight, still has difficulty absorbing contact and finishing in traffic … Adding bulk in the past has slowed him down and it’s apparent he’s not a player that can carry any additional weight comforably … No true post game repertoire … His footwork has improved but still needs significant advancements … Very awkward and deliberate in the post … Needs to improve his handle with his off (right) hand … His face up game can be very predictable and he’s prone to turnovers (2.6 per game) when shut off from his original move … Jump shot consistency is a concern … Has an extremely high arch on his shot … Incorporation of a mid-range jumper would be beneficial to his growth … Regression in free throw accuracy is alarming- dropping from 70% to 63% … Does not display his passion for defense on a play in play out basis … Could use an edginess to his game and get his hands dirty more often …",83,247,20.07
Al-Farouq Aminu,8,"One of the top athletes in the country, Aminu had a solid sophomore year, with more opportunities to shine after James Johnson and  Jeff Teague left for the pros …  A huge leaper with freakish athleticism, explosiveness and solid length, Aminu uses these 3 strengths to make him an excellent rebounder and defender …  His athleticism contributes to a quick first step, while possessing a good enough handle to take his defender off the dribble north to south rather than east to west … His solid frame, length and athleticism give him the ability to be an excellent defender, with the option of allowing him to guard the 2, 3 or 4 … His leaping abilities allow him to get up and block shots, as well as eliminate second chance opportunities on the defensive glass … Again he uses his pure athleticism to keep the ball alive on the offensive glass making him a tough target to box out … High energy player, will lay out for the ball … Showed an improved post game, using his quickness to elude his defender down low and get off uncontested shots even with his man on his back … He has a good enough handle to match his athleticism following a rebound, allowing him to go coast to coast where he thrives in transition,  as he runs the floor very well and can soar around the hoop making him a point guard’s best friend on the break …","Aminu’s glaring weakness is his inability to create shots for himself and hit from the outside … He lacks any real range on his outside game, and does not have the ability to pull up off the dribble … He lacks touch around the basket when he’s not close enough to dunk … Turnover prone, with a tendency to be out of control and a bit awkward when taking his man off the dribble … Handle is not diverse enough, most of his drives are made because of a quick first step, while limited to mainly just going right … His lack of shooting ability hurts his chances of playing the 3 at the next level, most likely he will play the athletic and high flying power forward role until he broadens his perimeter skills … Not skilled enough to immediately be effective on the offensive end…",80,216,19.77
Gordon Hayward,9,"The 6-9 Sophomore forward is an outstanding shooter as evidenced by his 84% free throw percentage … He has a high, quick release on his jumper enabling him to get his shot off when he wants … His three-point accuracy has regressed from his freshman to sophomore campaign largely due to opponents contesting a higher percentage of his outside looks … There’s no doubt that he will be able to hit the outside jumper with great accuracy at the next level when getting open looks alongside another playmaker … At the college level he also does a very good job of getting to the free throw line via drives to the basket or by drawing contact from offensive putbacks, 30% of his points come from the charity stripe … Hayward is more than just a shooter as he’s also an excellent offensive rebounder from the SF/wing position, averaging 2.1 offensive boards per game at an 8.5% offensive rebounding percentage … He uses his good size and underrated athleticism to his advantage on the glass as he’s averaging 8.3 total rebounds per game … Gordon’s ball handling ability is also a bit underrated, while he won’t blow by anyone with his quickness, he is an effective ball handler and will initiate Butler’s offense from the point forward position at times … Hayward is also an effective passer with a high basketball IQ, he often defers to teammates and is willing to make the extra pass …","The biggest knock on Hayward’s game is his lack of aggression … He shows it from time to time, but we would like to see him make a more concerted effort to dominate games when his team needs him … He’s a match up problem for many teams at the college level, but his lack of a post game has allowed opponents to guard him with smaller defenders … While we mentioned that he’s a respectable ball handler, he does not look to score very often off of the dribble … He gets to the rim at times in college, but that is not likely to translate to the NBA … Hayward is a decent defender using his size and athleticism to his advantage at the college level … However, his lack of elite lateral footspeed and strength will make it difficult to match up with small forwards in the NBA … Several scouts and knowledgable observers have mentioned that Gordon is ""too nice"" which points to our comment about his lack of aggression … Other questions exist about his commitment to being a great basketball player … He is a very smart kid, majoring in engineering … To his credit he has other interests and will have other options outside of basketball, but he must commit himself if he wants to be an effective player at the next level …",80,211,20.27
Paul George,10,"Paul has some very appealing aspects to his game that could translate nicely to the next level … a 6’8 small forward with a long wingspan and unlimited NBA range, he has a quick release and does not need much room to let it fly … His athleticism and ability to run the floor make him dynamic in transition, resulting in big time dunks that can spark his team … He attempted exactly 132 free throws in both his freshman and sophomore years, however he hit 28 more his sophomore year (a 70% to 91% jump)… Impressive vision and passing skills, which is not usually the case for a perimeter forward (3 assists per game) … Rebounds well for a small forward at over 7 per game … Defensively his athleticism contributes to over 2 steals and almost a block per game, illustrating his ability to anticipate and make a play on the ball …","George’s biggest weakness is his inability to create for himself, and his poor shooting percentage when pulling up off the dribble … Lacks a great handle which limits his overall game, as practically all of his baskets come from spotting up, good position down low, or in transition … Tends to get too trigger happy from behind the arc, rushing long shots as opposed to letting the play develop and waiting for a better option … He needs to not always settle for the long ball, and use his strong body and basketball skillset to be a little more creative in regards to getting easier opportunities and getting to the line … At times he can be sloppy with the ball, throwing unreasonable passes while looking as if his head is not fully in the game…  Defensively, he tends to lose focus when playing on the ball, but with the right coaching staff and the opportunity to play on a bigger stage, that problem is likely fixable … Playing a weak schedule on a small stage makes it difficult to project how he would fare against stiffer competition …",81,214,20.16
