Name,Pick,Strengths,Weaknesses,Height,Weight,Age
Deandre Ayton,1,"Tremendous physical profile (7’1”, 250 pounds) … Fits the profile of a physical freak and a ""Generational center"" … Figures to be among if not the top center in the league in his prime … Already has an NBA ready body, and a physique ideally designed for the game of basketball … Moves exceptionally well for his size … Runs the floor well and really excels in the transition … Plays physical, showing a willingness to bang and seek out contact … He’s capable of reliably hitting open jumpers, even developing a three-point game (34.3% on 1 attempt per game) … Has very good hands … Has good form on his shot, shooting 73.3% from the foul line … Knows how to score in a variety of ways: Around the rim, mid-range, and beyond (20.1 points per game) … Developing solid post moves and has exceptional footwork … Good in both pick and roll and pick and pop situations … While able to dunk in traffic with ease, he isn’t overly reliant on his physical gifts to score … Does a good job controlling the glass and the paint, averaging 11.6 rebounds and 1.9 blocks per game … Very active on the offensive glass, good at getting tip-ins and put backs … Has a really quick second jump and follows his own misses really well … Does a good job defending without fouling (2.3 fouls per game) … Seems to be NBA ready from a mental standpoint … Was comfortable handling the work load night in and night out at Arizona … Pretty consistent player, giving good energy every minute he’s on the floor … Rarely had an off night. Made a huge impact in college from day one … Already looked like he could hang with NBA players the moment he stepped on the floor at in Tucson … Fits today’s NBA extremely well with his ability to knock down outside shots … Scored a majority of his points in the post, generally outclassing opponents with ease, with his huge size/talent differential. But has developing skills to operate both on the block and facing the basket. Has a lot of natural ability and his post game can advance tremendously if he’s given the proper instruction …","Defensive awareness needs to improve. For a player with such elite physical gifts, his shot blocking ability is curiously average (though he seemed to improve as freshman season progressed). He should be able to improve upon this over time, given the proper coaching and desire … Needs to do a better job guarding against the pick and roll. Can sometimes lose his man … Needs to do better as a help defender … Can get flat footed at times … And seemed to look to preserve energy (and fouls) on the defensive end … While capable of scoring at all three levels, jumper (inparticular shot selection) still needs improvement … Tends to shoot it a bit short and at times can rush his shot … Needs to follow through and also look to improve his touch around the basket … Needs to do a better job of commanding the ball inside and establishing position. He’s so big and strong that he will be very difficult to stop from extablishing position at the next level once his strength peaks out and he fully understands utilizing position and getting low … Sometimes is a bit passive and can be lazy at times, though he played with a solid level of energy for the most part throughout his college career …  Needs to do a better job contesting shots on the perimeter … Needs to do a better job scoring in traffic … If crowded, you can bother him and force him to take a difficult shot or turn the ball over … Will need to improve ability to handle double teams …",84,260,19.93
Marvin Bagley,2,"NBA-ready body … Positional versatility … Displays unusually smooth and fluid movements for his 6’11”, 234-pound frame … Elite and agile athlete … Great lateral quickness … Exceptional leaper (jumps well off both feet) …Elevates quickly and really gets off the floor well for his second and third jumps … Plays effortlessly above the rim … Possesses great hands and quick feet… Catches everything that comes his way … Very coordinated in his movements … Has good body control … Good overall ball-handler for a big man … Multifaceted offensive skillset … Versatile/natural scorer … Polished footwork in the post … Can shoulder his team’s offensive load … Gets to the rim easily … Strong finisher around the basket with a soft touch … Can score around the rim with either hand … Solid low post scorer … Possesses a bevy of floaters, runners, and hook shots … Gets his defenders off balance with an array of ball fakes … Does a good job of working around the rim and getting himself open … Has shown the ability to expand his game and take his opponents off the dribble using his quick foot speed … He’s shown flashes of being able to take his game beyond the 3-point line … Has the potential to be a stretch 4/5 and a catch-and-shoot player … Solid shooting form and can develop into a reliable mid-range/outside shooter shooter at the next level … He has developed a nice mid-range jumper, which he can get off of turnarounds or on step back moves … Plays well from the triple threat position, including a nice jab step … Has the tools to be a dual pick-and-roll threat … Offensive rebounding/nose for the ball … Reacts quickly to rebound his own misses … Has a knack for turning offensive rebounds into second-chance points, especially in traffic … He keeps possessions alive and shows great timing cleaning up after missed shots … Can take a defensive rebound and go coast to coast, either finishing in the lane or setting up a teammate for an open shot … Has the ability to run the floor paired with the agility to euro-step in big spaces and decelerate … Decent, but not elite, instincts for defending the rim and blocking shots … Can effectively challenge shooters using his length in isolation situations to force contested shots … He’s great at switching in pick-and-roll situations … Can stay in front of guards and wings on the perimeter … Jumps passing lanes well … Can be a menace on defense when he’s locked in … Coach K has praised his practice habits and work ethic …  Has built a strong reputation as a high character kid … Has the desire to be great … Motor is one of his strongest assets … Plays with great competitiveness and physicality … Out-works and out-hustles his opponents … Commands the ball and looks to dominate … One of the youngest prospects available for this year’s draft. Won’t turn 20 years old until March of his rookie season … Appears to potentially be an ideal small ball five for today’s NBA …","Lacks the wingspan of other big men in his class … Has to continue to fill out his frame with upper and lower body strength … Sometimes gets out-muscled in the paint/post … Lack of strength keeps him from controlling the paint on defense … Ball handling is solid but still needs to get better handling in tight spaces … Needs to prove that he can score consistently with his right hand (i.e. dribbling and finishing with his right) … Will turn down good looks with his right hand to shoot contested shots with his left … Even if he’s forced right, he’ll try to finish with his left … Needs to trust his right hand more and not be too predictable with his dribble drive and post up moves … Low post game needs to get more refined … Far from a finished product in terms of outside shooting, although he’s developing … Because he crashes the offensive glass so often, he doesn’t get back in transition as much as he should … Not a natural passer … Overlooks open shooters … Can sometimes miss the easy pass … Plays toward the basket with tunnel vision … Isn’t a physical screen setter (avoids contact) … Although he’s a great rebounder and puts up great numbers on the boards, it’s more so because of his athleticism than his rebounding fundamentals … Doesn’t get good leverage on box outs … He’s not a true rim protector at this point … Fails to challenge shots at the rim because he tends to shy away from contact … Still needs to improve his defensive fundamentals, timing, and rotations … Ball-watches a lot on defense … Shot just 62% from the charity stripe … Seems to be a jack of all trades but master of none …",83,235,19.28
Luka Doncic,3,"Versatile all around guard/forward who can do just about everything on the court … Probably the most mature prospect that Europe has seen in years … His Basketball I.Q is off the charts … A natural born leader, excels under pressure, who takes and makes big shots … Not afraid of the big stage, since he has been the center of attention since he was 15 years old … He has been used as a point guard from young age and really knows how to control the tempo of the game … Looks like he will become a point forward in the future … Not very gifted athletically, but has some sneaky athleticim and length that helps him blow by opponents and make athletic finishes … Great size for a wing … Has really bulked up considerably the last few years and has lost some baby fat that he was carrying … Has great feel for the game … Very good ball handler, with a nice crossover and step back dribble on his repertoire… Nice hands that help him in all aspects of the game… Already a very good scorer, he can score in every way possible… When he gets hot is really difficult to stop him… Great shooting mechanics and good looking shooting form… His Pull-up game and shot of dribble are lethal… He is a threat on Spot Up and Catch and Shoot situations… Attacks closeouts and can either go all the way to the hop or stop and shoot… Knows his way around the screens and uses them excellent… Has the ability post-up smaller opponents and punish miss-matches with a variety of moves thanks to his good footwork… Drags bigs away from the basket on switches and tries to exploit any advantage on his favor… Can be effective without the ball in his hands… Good Free Throw shooter… Elite passing skills and court vision… He can pass from anywhere on the floor and everywhere on the floor since he is a really creative passer… Great passer on the move to the weakside, he can already make one hand passes… A true maestro in Pick and Roll situations as the ball handler, he is the dream of every rolling Big… After he receives a pick he can either find the rolling Big, pass to the weakside, go all the way to the basket, or shoot off the dribble… There isn’t a cover he hasn’t faced already, so he is really not surprised anymore against defenses… Great body control and balance on drives… He can penetrate from either side and finish to the basket with strong or finesse lay-ups and even some dunks when he finds room and jump of two feet… Excels in tranistion as a ball handler thanks to his amazing court vision, basketball I.Q and scoring ability… Very good rebounder for his position, especially on the defensive end… Adequate lateral quickness… Doesn’t back down on Defense and tries to make it difficult for his opponent to post him up… Smart help defender who knows where to stand, anticipating plays before happen…","He can be considered magrinally average athlete by NBA standards … Not overly long, more of an average actually…  His first step is slow even for European standrards … Not a very good leaper of one foot, his good jumps come of two feet … Must continue working on his body … He lost some flexibility while he was bulking up … Can be really emotional at times and lose concentration for a few plays… He can depend too much to his instict at times … If he doesn’t have momentum it’s difficult for him to finish plays at the rim… He must improve in changing speeds and pace … His ball handling still needs some polishing, especially with his left hand … Has problems against aggressive ball pressure from smaller, faster opponents … The lack of explosiveness makes it really difficult for him to create his own shoot against great athletes with good wignspan … Isn’t always able to punish switches when he has a versatile Big against him, especially if there are no shooters around him … He has the tendency to over-dribble, trying to find his way around his defender, icing-out teammates momentarily … It’s a questionmark whether he will be able to create consistently at the next level on ISO situations … Finds it difficult to finish in traffic and against elite length … Finishing against contact might be an issue at the next level … Shooting selecion can become a little iffy occasionally with some off balance shoots and long floaters … Can fall in love with his pull-up game and settle too much against switches … Kind of streaky shooter for now … Incosistent 3-point shooter … Must have feet set to shoot well in Catch and Shoot situations … His off the ball game should still improve a little bit more … The fact that he can see angles that no one else can see leads to some extreme passes and, as a consequence, some turnovers… His assist/turnover ratio could be better … He could be more involved on the offensive boards … Doesn’t always box out and depends on instict and position to grab defensive rebounds … He is not always engaged on defense … He should raise his intensity on the defensive end … Doesn’t keep a low stance all the time when he is guarding a ball handler , which makes it easier for his opponent to blow by him … It’s a questionmark who he could guard at the next level, since he has problems against smaller, quicker opponents, but also against athletic wings … Not always physical enough when he is defending in the post … Has problems reading screens on the defensive end … Has been targetted on defense on Pick and Roll situations that force switches to exploit his defensive limitations … Must be more aggressive on defensive close outs …",80,225,19.32
Jaren Jackson Jr.,4,"Very gifted athletically … Untapped potential … Impressive quickness/mobility/agility … His physical profile stands out as he’s listed at 6’11 and 235 lbs … His wingspan measured at 7’5 ¼” at this year’s NBA Combine (third longest player in the draft) … Standing reach is measured at 9’2, giving him tremendous size  … Fluid and coordinated as a runner…Has nice (huge) hands: measured at 10 inches in length … His offensive game is extremely versatile … He’s capable of facing up or playing with his back to the basket … Has shown the capability of hitting from mid-range … He flashed some offensive ball skills and control that could foreshadow his ability as an offensive talent … Great ball-handling skills for his size (he’s a near 7-footer who can effortlessly take defenders off the dribble with either hand) … Can put the ball on the floor in space, transition or on closeouts while using a variety of moves or making dump-off passes … Has a great first-step … Displayed great shooting consistency and efficiency from various areas of the floor: 59 percent on 2-pointers, 40 percent from the 3-point line, 51 percent overall from the field … Has nice touch and finishing ability around the rim with either hand … Active finisher around the basket … Can finish through contact … Showed a willingness to move without the ball … Constant threat to scores off cuts and with or without the ball in transition … Does a good job of running the baseline for alley-oops … Connected on 80 percent of his free throws … Defensively, he showed that he can defend in space and guard the perimeter extremely well for his size … Gets into his stance and slides his feet better than any other big man in his class … Projects to be the perfect defender for switches and closeouts at the next level … Shows good defensive awareness off the ball, allowing him to be a solid help defender and weakside shot blocker … Exceptional overall shot blocker, having averaged 3.0 blocks per game in his lone season at MSU … Possesses great rim protection, anticipation, range, and instincts … Solid post defender, didn’t bite on pump fakes often … He seems to always be quick to the ball … Never gives up on plays on defense … Goes hard after offensive rebounds (high-level offensive rebounder) … Has good timing on his putbacks … Plays aggressively and with hustle/energy … One of the youngest, if not the youngest, players in the draft … Won’t turn 19 years of age until September …","A late bloomer in regards to his physical frame as he’s still a bit on the thin side … Still very much a kid and will require additional time to fully mature both on and off the floor … Would benefit from developing more muscle/strength for the next level (especially in the upper body) … He’s not overly bouncy or explosive … His overall offensive game is still unpolished despite the promise it has … Jackson has a tendency to get into foul trouble (averaged 8.6 fouls per 100 possessions … A lot of his fouls stem from him being undisciplined on defense … Foul trouble was a main reason why his playing time was diminished throughout his FR season … Needs to work on maintaining his balance as a low-post defender … May need to tweak his shooting mechanics (low release, knuckleball), but still projects as a solid outside shooter … Although he shot a high percentage throughout the season, he did attempt just seven shots per game (what will he do with an expanded role?) … Needs to polish his shooting off the dribble … He was too passive and therefore inconsistent at times … Not an elite below-the-rim finisher … Needs to learn how to move onto the next play (maturity) and not check out the game (mentally) when he makes a bad play or something doesn’t go his way … Lacks passing awareness … Doesn’t look comfortable making decisions with the ball … Remains to be seen if he can develop into a playmaker … His assist-to-turnover ratio left a lot to be desired … Not a shifty enough ball-handler in traffic … Can be a little wild and out of control when he puts the ball on the floor … Does not have a go-to move in the post that he can rely upon … Still developing the footwork that’ll be necessary as a viable low-post threat against bigger and stronger players in the NBA …",83,235,18.78
Trae Young,5,"Trae Young early on in his freshman season is doing things that college basketball fans rarely see … Through Oklahoma’s first ten games, he averaged nearly 30 points and nine assists per game, which is unheard of for any player let alone a freshman … Young has also yet to score fewer than 22 points since the season opener … Young is just the fourth high-major freshman guard in seven years to record a usage rate higher than 30 percent … Two of those players, D’Angelo Russell and Markelle Fultz, were top-two draft picks … The first thing that jumps out about Young is his seemingly limitless shooting range … Young is a threat to score from anywhere on the court once he crosses half court and can effortlessly knock down shots beyond the NBA three-point line … He may be the best shooter in college basketball since Stephen Curry played at Davidson … What separates Young from other great shooters is that, like Curry, he has the ability to knock down shots from distance off a variety of dribble moves and not just off the catch or off of simple one-dribble pull ups … He has a quick, compact release with minimal wasted motion that allows him to get his shot off even in tight space … Young’s jumper unlocks numerous other options offensively for him … Although he is not the most explosive athlete, the threat of his jumper forces defenders to guard him way out on the perimeter, making it easier for him to get by his man and into the paint … Young has shown the ability to create his own shot from inside the arc with a solid handle … He has a great floater from the mid range area as well that he can score with consistently when he is not able to get all the way to the rim … Young’s ability to operate out of the pick and roll is very advanced for a player of his age … He makes great decisions and quick reads off of ball screens and is always under control … Young always plays with his head up in these situations and shows great vision in the half court and in transition … He puts his passes on target and in spots on the court where his teammates are comfortable playing … He also does a nice job of not forcing passes and making the simple play when nothing extra is needed … In transition, Young does an excellent job of leading the break and is dangerous due to his combination of vision and craftiness around the rim … When he goes to the basket, he is adept at using his body to shield himself from bigger defenders and finish through contact … He can score with both hands or dish it to open teammates to lead to an easy basket.","Young does not have ideal size at 6-2 or length with just a 6-2 wingspan for an NBA guard … These physical limitations can become apparent once he gets all the way to the rim … He lacks the length and vertical explosiveness to finish through NBA length and athleticism and does not project as an efficient scorer at the basket in the NBA … He will have to rely much more on craft to be successful inside at the next level … He has been a bit turnover prone at times this season due to his tendency to make some risky passes at times … However, much of that is due to his unusually high usage rate, and he still has an assist to turnover ratio of better than two to one … Young’s shot selection at times leaves a lot to be desired … As good of a shooter as he is, there are times where he will hoist a very long jumper early in the shot clock without moving the ball and looking for a better opportunity first … As polished as Young is offensively, he is a near liability on defense … He rarely gets into a stance on this end of the floor and shows poor effort guarding the ball … Opposing guards are easily able to get into the lane against him and he is often caught ball-watching when his man does not have the ball … Due to his lack of ideal size and athleticism, he will be a guy for opposing offenses to attack … He is not explosive enough to stay in front of quick guards, and he is also not big enough to stop anyone else on the court … The effort has to improve first and foremost, but even if it does he may never be a reliable defensive player unless he can create a high number of steals … Will need to add strengh to be able to better finish off drives and also defend …",74,180,19.77
Mohamed Bamba,6,"A truly elite physical specimen in terms of length, Mohamed Bamba jumps off the page with his 7’9” wingspan and 9’6” standing reach … This kind of size allowed him to immediately burst on to the NCAA scene as an elite rim protector with the measurables to translate this skill to the NBA … Blocking 3.7 shots per game during his regular season stint at Texas doesn’t even take into account the countless shots he altered or drive attempts he thwarted … Timing is a part of this, as he only averaged 2.4 fouls per contest at the college level … His lateral quickness is also very good for a player who measures in at 7 feet tall. This makes him a capable pick and roll defender and someone who roam the entire paint area with little effort … From a rebounding standpoint, his 10.4 boards per game as a freshman is well above average, and despite his narrow frame he held his own pretty well in the paint against stronger opponents … While Bamba will always be a lean player, he does have wide shoulders and looks to be able to add muscle … His 3.2 offensive rebounds per contest is also a very good indicator of timing around the rim … Mo Bamba’s offensive game is probably a little further along than you might initially think … He is a 67.8% free throw shooter, and has a nice high release and good backspin on his shot … In an era when long, defensive bigs are often poor free throw shooters, Mo appears to have the foundation to be pretty good at the charity stripe … His jump shot is also showing signs of life as Bamba shot 28% from the college 3 point line, and showed to be capable from the elbow, while showing decent shot selection … While his jumper and 3 point shot are not exactly calling cards at this point in his development, I’d still call his foundation as a shooter an strength overall … He’s also a decent ball handler for a big man, and has shown some impressive glimpses of his length and athleticism when putting the ball on the deck and driving past and then dunking on defenders … He plays with fire, and at the college level when he gets good position and is close to the rim he’s extremely tough to stop … Bamba definitely projects as a defender first at the next level, but he has the pieces in place , with continued development, to be a force on offense as well … An extremely bright individual, if not for basketball, he had Ivy league grades and credentials entering college …","As obvious is as length is, it’s also not hard to notice he’ll need to continue to add strength to play the paint in the next level …  At the 2017 Hoop Summit, he only weighed in at 216 pounds … Ideally, you’d like to see Bamba at least around 240 in a year or two, or possibly 250 … I think those weights are achievable for him judging by his length, and how he’s added muscle since high school … His awareness with his back to the basket and in the paint on offense is a work in progress too … He’ll need to continue to work on his awareness of spacing and cutting players, as well as adjusting to double teams and pressure from guards … When he’s feeling it offensively, he could take over a game at the college level, but he could also be too passive when he’d get bothered … Restraint is good from a team game perspective, but with his physical tools he should have been more aggressive at times while playing for the Longhorns … A solid athlete, but much of his wow factor is due to length and not explosiveness or leaping ability …",84,225,20.12
Wendell Carter,7,"NBA-ready body/strong frame … Carter is 6’10,"" 251 pounds with a 7′ 4.5” wingspan and a 9’1 standing reach … His substantial size/physical profile suggests that he has more than enough size to play at the center position full-time in the small-ball NBA … Offers a multitude of skills on both ends of the floor … He has great hands for a young big man … Highly coordinated and mobile on both ends of the floor … His offensive skill set is as versatile and polished as any other big man in the 2018 draft class … He consistently showcased the ability to score efficiently against high-level college competition … Powerful post player with agile footwork … He excels playing with his back to the basket … Loves to spin baseline … Has finesse in his game … Possesses an array of effective post moves … Can knock down jumpers facing up … Quick first step … Good handle on the ball for a big guy … He’s effective off-the-dribble from the face-up position – gets the rim and finishes … Attacks closeouts strong from the perimeter … Can finish through contact … Proved to be a strong/efficient scorer at the rim – shooting 56 percent from the field overall … Moves well without the ball, gets to the right spot, and does a great job carving out position in the lane and imposing his will on his defender … Has excellent timing when it comes to positioning himself for catch-and-dunk opportunities off guard penetration … Can consistently knock down jumpers from the post area and from mid-range … Shoots the ball with confidence … Has a soft touch on his jumper/shooting mechanics look clean … Stretch big potential … His jumper extends to the three-point line he hit 41 percent of his 46 total three-point attempts at Duke) … Can shoot off the catch and off 1-2 dribbles … Knocked down 74 percent of his free throws (great number for a big) … He has play-making upside … Willing to pass the ball/makes good passing decisions out of the low/high posts … Can throw skips from the post, drive-and-kick out of face-ups, and execute big-to-big interior passes … Moves the ball quickly to avoid double teams … Has shown the ability to pass on the move … Does a terrific job setting screens for his teammates … Knows how to play high low, seals his man when guard penetrates his way … Does a great job making plays either rolling to the basket or popping out towards the perimeter after setting screens … Defensively, he showed solid footwork in the post as well as good instincts … His length and vertical jumping ability paid dividends for him as a rim protector … Has shot-blocking prowess and solid overall defensive awareness … Jumps with his body and arms straight up to block shots … Disciplined about rotating to the rim and challenging shots … Tremendous rebounder – would have averaged more rebounds had he not been playing alongside Marvin Bagley III … Effective at clearing out space in the paint with his thick body to go for boards … Simply overpowered his opponents on the glass … Once a shot goes up, he recognizes the best position for him to secure the rebound and boxes out his man really well … Has a nose for the ball … Uses his rebounding instincts/motor to pull down loose balls in traffic and convert them into second-chance points …Very fundamentally sound player overall … Has a high basketball IQ/feel for the game … A good understanding of angles … Tough, physical player who doesn’t mind mixing it up inside … Runs the floor well/with long strides …","Good athlete, but he lacks elite athleticism and isn’t considered a run and jump athlete … Does not possess high-end burst, explosiveness, or foot speed (although that could potentially change and improve if he stays in shape/work on his body fat, which was measured at a subpar 7.85 percent at the combine) … Perimeter defense is a question mark … Needs to improve his agility as a perimeter defender … Typically moves well when going from east-west, but not so much when he has to change direction going north-south … May struggle to guard against small-ball lineups in the NBA, especially against quicker players in the pick-and-roll … Can help his team way more defensive if he becomes more willing to do the little things on that end of the floor … Shows flashes of being a good shooter and has solid mechanics, but he still needs to gain consistency from the floor and the foul line … Struggles shooting when he’s pressured and forced to release too soon (needs time and space to get his shot off) … His lack of burst, dynamic leaping ability, and above-the-rim play-making ability could become a challenge when trying to score against NBA size … Finishing in traffic can stand to improve (not a crafty finisher) … Not a transition finisher and seems to jump better off two feet … He’s a bit turnover and foul prone … 6’10"" height is considered to be undersized for a center, but it depends on the match-ups and if he’s playing against a small-ball lineup … His average size may make his team play him at power forward, where he wouldn’t be as good a fit as at the center position … Does a good job passing the ball right before double teams come, but if he waits too long, he doesn’t have the size to easily see over the top and can get rushed under pressure … Has relatively small hands for a bigman … Lacks the upside of some his fellow big men in his draft class (i.e. DeAndre Ayton, Mo Bamba, Jaren Jackson Jr., Marvin Bagley III)",82,250,19.19
Collin Sexton,8,"Sexton is one of the most dynamic guards in the country and has the tools to become a versatile weapon at the NBA level … Although he is slightly undersized in height at 6-2, he plays with great physicality, athleticism, and aggression, and has a 6’6.5 wingspan and a 8’0 standing reach … He’s a player that loves the spotlight and seems to be energized by the bright lights and stiff competition … He loves to play through contact and has the frame to absorb it when going to the rim … He has the strength and athleticism to finish through contact, and he also gets to the free throw line at a very high rate … Sexton still could stand to become more consistent from the charity stripe, but overall he converts his attempts at a more than proficient level … Sexton combines his strength with blazing speed, agility, and creative ball handling to form a lethal slashing arsenal … He does a great job of finding angles to get to the basket and changing directions to keep his defender off balance … Sexton also does a good job of changing speeds on the perimeter when coming off of ball screens or in isolation … That allows him to keep his man guessing and much more easily get into the lane … Sexton is constantly in attack mode looking to make a play … His wiggle off the dribble naturally leads him to make a play either for himself or a teammate … Sexton’s jumper also looks promising, as he combines his ability to get to the rim with a variety of moves on the perimeter … He utilizes step backs, pull-ups, and even some mid range fallaways … He is a dangerous scorer in the mid range area, and even though that is not an essential part of today’s game, the best scorers all excel in this area … While not a pass first point guard, he has the prerequisite vision and playmaking ability needed to be an NBA floor general … He is a great facilitator in transition, and his ability to get into the lane in the half court allows him to collapse the defense and find open teammates all over the floor … His aggressive style combined with his explosiveness point towards high upside on the defensive end at the next level … Sexton also is not afraid of the big moment and does not back down from tougher competition … He plays with tremendous passion and seems to perform his best in big games … With his two-way skillset and determination, Sexton has a chance to be a quality lead guard in the NBA …","Sexton still has some room for improvement as a slasher despite his explosiveness … He has the ability to finish with his left hand at the rim but is obviously much more comfortable going right at this stage … He needs to add a bit more finesse to this department in his game, as he will not be able to rely on sheer athleticism once he reaches the NBA … His shot selection could also use some polishing … He tends to force the issue at times and often tries to make the flashy play instead of keeping it simple … While Sexton has proven to have excellent shot making ability, his balance on his jumper is not always consistent … He is more of a streaky shooter than a pure knockdown threat at this point … Sexton is much more of a combo guard than a true point guard, which could hinder his ability to run a team at the next level … His assist turnover ratio is below two to one, which is less than ideal for a lead guard in the NBA … He will need to develop into more of a facilitator to maximize his offensive efficiency at the next level … He also has a tendency to become a bit stationary without the ball in his hands, so his activity off the ball can improve …",74,185,19.47
Kevin Knox,9,"Solid frame, standing 6’9”, 218 pounds, with 7.14% body fat … Size and length can result in matchup problems for opposing teams. 7’ ¼” wingspan.  36 ½” vertical allows him to rebound over smaller players with relative ease … Has solid shot mechanics that should translate well to the next level as he already has NBA range … Is very good at scoring going to the basket, especially with one handed floaters that he can get over virtually any defender … Can score from the post, allowing for a versatile offensive attack … Steady improvement throughout his freshman season. Started off poorly on defense to start his college career, but has shown significant growth, especially in terms of staying in front of ball handlers … Looks to get out in transition when given the opportunity and runs lanes well for the most part, and looks to get to the rim … Rarely makes careless passes and doesn’t stagnate the offense by over dribbling … Moves well off the ball and uses off ball screens very well to create separation from defenders … Excellent catch and shoot player from midrange, especially along the baseline … Can shoot over most defenders and is not afraid to look for his own offense … When he needs to rebound, can rebound very well … Won’t turn 19 until August 11th. One of the youngest freshmen in college this season, and still has a lot of room to grow … Reason to believe that his game will develop … Has the potential to be a solid all around player that can do many different things …","Motor can run hot and cold, when engaged he is very good, but when not fully engaged he can disappear completely … His overall game can be affected by his shot, when the shot isn’t falling he can start to lose focus … Possesses poor court vision mainly due to keeping his head down when handling the ball, which can lead to turnovers and offensive fouls … Rarely passes the ball in transition, even if it results in him attacking the rim in a 3-on-1 situation … Will be at a speed and quickness disadvantage against small forwards at the next level … When the offense goes through other players, he will often coast instead of focusing on rebounding or defense … Has a tendency to force or settle for long shots instead of attacking defenders … Has only one move in the post, will need to develop his repertoire further to have success on the low block at the next level … Not a very efficient player, although some of that is because Kentucky’s reliance on him offensively, allowing defenses to key on him … Doesn’t have a noticeable killer instinct or edge to him, sometimes looks content to blend, instead of stand out despite having an immense amount of talent … Struggles at times to create his own offense as he has difficulty getting past opponents.",81,215,18.87
Mikal Bridges,10,"Prototypical 3-and-D wing for the next level … 6-7 guard/forward with elite length, athleticism and skill set … Has evolved from being a defensive standout to one of the best outside shooters and wings on the college level … Quite possibly the best two way player available in this year’s draft, and figures to be one of the most NBA ready as well … Hits three pointers at a high volume, 2.5 three pointers on just under 6 shots per game … Has a very polished 3-point shot. Great form, accuracy and confidence in his shot: Gets his feet set quickly, has a quick release, good elevation, follow through, and shows range and consistency … Does most of his damage offensively as a spot up shooter … Nearly 50% of his shots come from behind the 3point arch where he is extremely efficient (43% from 3)… Has improved his ability to attack the rim off the bounce and finish with dunks … A +6 or +7 length body type … His 7-foot wingspan allows him to get shots off with ease as well as being a difficult match up on the defensive end … Excels on the defensive end and is disruptive with his great length … Gets in a low defensive stance and covers a lot of ground making it difficult for opponents to get clean looks … Doesn’t gamble for steals and has learned to play sound, fundamental defense after 4 years under Jay Wright at Villanova. He plays the passing lanes well, and is tough to get shots off on due to his length … An extremely efficient overall offensive player shooting (51.6 fg%, 42.9% 3p, and 84.7% ft) … Has improved considerably in his junior season going from a key role player to a star (10 ppg to 18 PPG) on the college level and Villanova’s go-to athletic scorer … Has become known for being a clutch shooter, and seems to elevate his play in big moments … Level headed player who rarely loses his cool … Solid decision maker, 2.1/1.4 a/to rate …","The biggest knock on Bridges is his lack of strength. Not an overly physical player … His 2.8 FTs made on 3.4 attempts show that he doesn’t attack the rim and get to the line a great deal. His FTA/FGA ratio is below 30% at 28.0% … Has worked hard at adding muscle mass, but remains on the thin side at 210 lbs for a player about to turn 22. Could stand to add another 10 lbs, which would help him to finish through contact and play more physical at both ends. Though he may be a player that lacks the natural body type to carry more weight … He would also better utilize his great free throw shooting ability by playing more physical and attacking the rim … Playing alongside one of the nation’s best point guards (Jalen Brunson) for his entire college career has been a huge positive for Bridges, but it has also kept him from having to develop as an isolation player … Has displayed some ability to get to the rim off the bounce and pull up, but remains more of a catch and shoot guy than a driver (96.4% of his 3 pointers come off of assists) … Took some time to break into a star … Red-shirted the 2014-15 season, practicing with the team … Will turn 22 on August 30th, and therefore has maturity but less upside than a number of his fellow draft prospects… Foot speed is solid, especially laterally, but not exceptional … A good leaper but not great with contact and struggles some to finish after contact or rebound in traffic despite his length … Generally goes right, so could improve upon attacking off the dribble using his left hand … Vision and passing a work in progress. Not really a facilitator or a guy that creates open looks for teammates with the drive and dish … More of a lead by example type, could work on being more vocal now that he’s one of the team’s stars …",79,210,21.82
