Name,Pick,Strengths,Weaknesses,Height,Weight,Age
Anthony Davis,1,"Fluid athleticism, incredible length and guard agility in a 6’10 package … Davis is a game wrecking defensive presence and disruptor unlike any incoming draft prospect in quite some time (4.8 BPG) … He combines the physical shot blocking package of a 7’6 wingspan and quick leaping ability with a relentless motor and high-level defensive intelligence … In addition to his length, the speed at which he chews up ground allows him to affect shots all over the court … He has phenomenal recovery speed and can cover up the defensive blemishes of teammates … Single-handedly suffocates opponents physically and mentally, as they know all attempts within his vicinity will be heavily contested at minimum … Looks like a natural guarding on the perimeter, with quick feet and exceptional hands for a man his size- averages 1.5 steals per game, an unheard of figure at the college center spot … Rarely gets into foul difficulty despite his aggressive, attack every shot nature … Davis uses his freakish gifts on the boards as well, snatching nearly 10 rebounds (3 off.) in 31 minutes of action … Not afraid to mix it up on the interior despite his frail build … Highly efficient offensive weapon (13.8 PPG, 65% FG) … Predominantly an off-the ball target, cleaning up on alley-oops both off the pick and roll and dribble hands offs … Few passes are out of reach, seemingly able to elevate as high as required. RUNS the court … While not necessarily a power finisher, his explosiveness of the deck is effortless … Capable of mid-air body adjustments on errant passes … Displays the body control to hang and alter release to finish through a bump … His jump shot form is aesthetically pleasing (71% FT), and its effectiveness certainly can be cultivated with work and experience … Shows glimpses of pick and pop aptitude … Bullet outlet passes are a major strength … Can handle the ball in space with occasional facilitation of the offense, and does not appear limited to straight line drives … Commits under a turnover per game as a freshman big, highlighting his guard skills … Still only 18 years of age, Davis grew 7 inches (6’3-6’10) between his HS junior and senior seasons … Dynamic versatility at both ends of the floor makes for boundless potential …","The number one drawback on Davis is his overall strength, or lack thereof .. Despite his youth, he is unquestionably thin and the issue remains just how much weight he can add, and how that added weight will affect his speed and agility … His shoulders suggest he can build on his frame, and he’s noticeably chiseled his arms, however a thin waist likely means he won;t be able to bulk up substantially … Must work on his core and lower body- easily gets pinned and backed down in the paint … Unable to establish and maintain position inside, often finding himself bumped off balance … Rarely used in isolation post-up’s during his freshman campaign, particularly given his size advantage on many nights and solid footwork … Offensive canvas is raw, with obvious enormous room for improvement … Doesn’t yet have a feel for his jump shot, often rushing the attempt and shooting a flat shot … There are times where he displays extreme comfort handling the ball, but face-up/dribble-drive maneuvers are few and far between … While he’s a tremendous secondary and tertiary leaper, he too often leaves his feet on pump fakes … It’s hard to fault him for being shot block happy, but the lack of discipline is not to his benefit …  His athleticism and length won’t cover up all shortcomings against super competition … Projecting Davis going forward, there’s not much to dislike … Physical maturity is the only visible hurdle standing in his path to beast mode.",82,222,19.31
Michael Kidd-Gilchrist,2,"MKG is a strong, athletic small forward who possesses the intangibles that can’t be taught … He’s at his best in open space, whether it’s in the half court or transition … While most use separation to rise and fire, MKG uses it to build momentum and fearlessly attack the basket … Excellent finisher at the rim with explosive leaping ability, soft hands and the ability to adjust in mid-air … Tremendous length allows him to effortlessly finish plays with dunks … Also able to absorb and finish after contact … Moves well off the ball terms of angling his cuts as a slasher … Does not need the ball to be effective or impact a game … Though not known for his jumper, showed some promise spotting up when his feet are set … Strong, aggressive rebounder thanks to his relentless pursuit of the ball, non-stop motor and athleticism … Lockdown defensive potential with the versatility to guard to 3-4 different positions … Physical on-ball defender with a high awareness level off the ball … Has a desire, intensity and will to win that elevates his status into elite level despite not having elite skills or potential …","Jack of all trades, master of none … MKG’s biggest weakness surrounds his inability to create his own shot in the half court … Sometimes too intent on getting to the rim when a short pullup is the better play, which he hasn’t consistently shown he has in his arsenal… Lacks range on his jump shot, and won’t be considered a stretch-threat by opposing defenses … Shooting motion has a hitch in it, which will be an issue as he looks to extend his shooting range …  A bit undersized at the next level to get the same easy buckets he got in college … Could use some work as a ball-handler on the perimeter …",79,233,18.77
Bradley Beal,3,"Talented shooting guard with a prototypical skill-set for the position … Strong build … Has solid size, standing about 6’4"" in shoes with a 6’7"" wingspan … A good overall athlete with good quickness and speed for his position … Isn’t terribly explosive, but finishes strong around the rim regardless … A gifted jump-shooter … Effortless mechanics with a buttery release and a consistent follow-through … Doesn’t need a lot of time to get squared-up to the hoop … Dangerous in spot-up situations … Has to be constantly monitored by the defense, especially when he camps in the corner … NBA range … Won’t hesitate firing out to about 25 feet … Good quickness and shows a nice first step, so his driving ability can and should improve … Willing to take the ball inside when the defense overplays him on the perimeter … Gets to the free-throw line at an adequate rate (4.7 attempts per game in 2011-2012) … Understands how to run the court in transition opportunities; with the ball or without … Should be able to defend his position at the next level … Displays strong defensive instincts; moving his feet well and getting a lot of deflections … Great overall anticipation while defending passing lanes … Blocked nearly a shot per game in his freshman season … Rebounds much bigger than his size (pulled down 6.7 per game) … Very high basketball IQ … Extremely unselfish … Doesn’t have to clog the offense or dominate the basketball to be an effective scorer … Learned how to effectively move the ball around the court in Billy Donovan’s system … Won’t turn 19 years old until draft night … Still has a lot of room to grow …","May be an inch or two shorter than most starting shooting guards in the NBA, and he doesn’t have the kind of explosive leaping ability that would compensate … Is prone to getting his shot blocked when he takes the ball inside … Struggles in traffic. Size appears to be an issue for him when in around the basket … Not a polished ball-handler, has yet to show a consistent ability to get to the rim off the dribble from the periemeter … Won’t often look to create for himself or others off the dribble … Had an inconsistent year behind the arc, shooting only 34% from outside, struggled especially early in the year …",76,202,19.01
Dion Waiters,4,"Waiters’ style of play reflects your prototypical combo-guard … At 6’4 with a strong physical foundation, Waiters can play both on and off the ball throughout stretches of a game … He’s a scorer at heart, but his ability to create off the dribble results in open looks for teammates, which Waiters is capable of finding as a passer …  Always looking to get out in transition, he can change directions off the bounce, effectively absorb and deflect contact and finish at the rim … Uses screens well off the dribble, recognizes when to hesitate and accelerate over the top … He’s an above average shooter with NBA range … Comfortable shooting off the dribble inside the arch and via catch and release outside the arch … Athleticism allows him to penetrate the heart of the defense, where he’s illustrated a soft touch on his floater … Defensively he has active hands and quick feet, and is a constant threat to steal the ball when defending a loose/careless handle … Often comes out of nowhere for pokes and swipes as an off-ball defender …","He’s clearly not a point guard, so you wonder how he’ll perform offensively against athletic 6’6 NBA 2-guards … Would see a huge rise in stock if he can learn to facilitate in the halfcourt as a quarterback … Struggles at times creating good shots in the halfcourt … With his athleticism and bounce off the dribble, paired with the ability to explosively elevate, Waiters should attack the rim more often (only attempts 2.5 free throws per game) … Needs to improve as a free throw shooter in general (only 70%) … Playing at the top of the zone, he hasn’t had the experience defending prolific 1s or 2s in isolation…",76,215,20.56
Thomas Robinson,5,"High-motor forward that possesses the power/athleticism combination to be an effective player in the NBA … Explosive leaper … Doesn’t waste any time collecting himself when he catches the ball around the rim … Great size for a power forward … Has tremendous length with a 7’1"" wingspan … Strong — though not bulky — frame that can generate a lot of power in a hurry … Very fluid runner … Quick feet in the paint … Is efficient and decisive in post-up situations, despite not being especially skilled with his back to the basket … Aggressive mentality leads to a high number of free-throw attempts … Has developed a solid right-handed hook shot that’s become his go-to move from the left block … A solid jump shooter, that is more than willing to take advantage of a defense that leaves him open … A ferocious rebounder (averaged 11.9 rebounds per game in his senior season, good for second in the nation) … Is particularly adept at chasing down his own misses … Not afraid to wrestle with bigger players for better position … Is active and athletic enough to rebound well out of his area … Has all the tools to defend his position at a high level in the NBA … Despite not being a very intimidating shot-blocker, he has been an effective defender against post-up situations … Moves his feet well enough to stay in front of the more mobile power forwards in the NBA … Hard worker that has improved noticeably every year at school …","Doesn’t excel at any one area offensively … His moves in the post are limited, and he’s not as likely to get away with relying on his physical tools so much in the NBA … His shooting ability has potential, but isn’t consistent yet … Won’t block or alter a ton of shots … Can play out of control at times … Averaged 2.7 turnovers per game in his junior season, which is a pretty high number for a post player …",81,244,21.3
Damian Lillard,6,"One of the most prolific scorers in the nation … Possesses ideal size for an NBA point guard, standing about 6’2"" with a nice wingspan … Uses his strong frame well to absorb contact around the rim … Extremely confident shooter that is dangerous at mid-range or well behind the arc … Won’t hesitate to square up from 25-28 away from the hoop … Needs very little space or time to get off a quality shot … Highly efficient for a volume shooter (43.2% on 7.1 three-point attempts per game) … Is able to create his own shot or spot-up off the ball effectively … Handles the ball fairly well … Uses quick, short dribbles and changes of direction/speed to keep defenders off balance … Is able to get in the paint at will, and is a crafty finisher around the rim … Aggressive in transition, always looking to make something happen … Lives at the stripe, attempting an average of 8.0 free-throws a game (88.4%) … Quality passer, that has the ability to create for his teammates by driving into the lane and kicking the ball out … Can be an effective on-ball defender … Good hands … Likes to pick his opponent’s pocket … Strong leader with a competitive drive …","Not a true point guard … Looks for his own shot first, which is expected for a player with his talent in the Big Sky, but will leave scouts questioning whether he’ll be able to make his teammates better at the next level … Has improved his decision-making over the last few years, but can get carried away and take questionable shots when he gets hot … Has been dominating all season, but hasn’t faced very strong competition …Missed an entire season before  his junior year, so some thought has to be made about injury concerns …",75,189,21.97
Harrison Barnes,7,"Barnes fits the NBA small forward mold, standing 6’8 with substantial length, mobility and athleticism … Fluid, confident and reliable in catch and shoot situations with NBA range. His ability to spot up and knock down shots will likely give him a long and prosperous NBA career … He’s crisp in the midrange with precise footwork and a high release on his jumper… Effective pulling up off one dribble or two … Uses pump fakes efficiently to get open looks … Maintains balance and body control when attacking the rim both on and off the ball … Has the ability to make difficult shots from different spots on the floor … Willing passer … Can get out and finish in transition … High basketball IQ and a high character individual … Has the tools to be an effective defender …","Offensively Barnes’ most glaring weakness surrounds his inability to create easy shots for himself … His inability to create stems from his lack of an explosive first step … He’s also a work in progress playing on the perimeter since most of his high school career he was a post player … Most of his damage is done on the perimeter, where he struggles to move north/south and attack the rim off the dribble … Too one-dimensional, and hasn’t added an aggressive go-to move from one year to the next … If his outside stroke is off, he has the tendency to disappear and become a non-factor in the game … Physically he lacks the explosiveness to finish at the rim with consistency or ease … Tends to rely on athleticism and shy away from contact on the interior … Too upright defensively making him easy to get by … Generally inconsistent which is enigmatic considering his talents … Needs to add bulk and become more aggressive … He was a no-show in UNC’s final 2 tournament games, which could leave a bad taste in a scouts mouths …",80,228,20.09
Terrence Ross,8,"Solid ball-handler …Very good court vision, finding teammates off P&R, or fast break … Runs the lane well in transition with ability to spot up on the wing or finish a lob … Lacks a conscience. Possessing irrational confidence at times, allowing him to play at a high level without perceived nerves or anxiety in high-pressure situations … Long and active defender on-ball … Excellent pass denial. … Capable help defender, proven through passing lane deflections and weak-side shot blocks … Great footwork in the face-up game, mostly showcasing pump-fake, one dribble pull up/step-back … Good 3pt and mid range shooter … Shot has good lift and form … Exciting dunker in traffic or off lobs, with exceptional contortion abilities and body control in the air … Length and ball instincts make him a great rebounder for a guard …","Despite his confidence, can seemingly get lost in the flow of the game at times … Needs to further develop explosive first step, to use quickness to his advantage … Must improve finishing at the rim on non-dunks …Will need to develop counters to offensive wing moves … Plenty of space to bulk up frame … Continue to build on the beginnings of post-game he flashed … Shot selection can lead him astray at times … Can benefit from veteran support/mid-first round selection to help add seasoning …",79,197,21.41
Andre Drummond,9,"Physically gifted, Drummond’s combination of size, power, mobility, athleticism and explosiveness is unparallelled at the college level … Because of these physical tools he’s able to finish with authority on a consistent basis, whether the rim is protected or left open … Can adjust in mid-air at the rim- doesn’t need the perfect pass to finish … Because of his upward explosiveness and size, guards just need to lob the ball around the cylinder and he can go up and get it without a running start… Has a soft overall feel for the rim from about 12 feet out in all directions … Very good at finishing non-dunks around the rim … Active and effective on the offensive glass … Runs the floor really well for his size … Has a quick spin with his back to the basket … Willing and creative passer … Timely shotblocker with sound footwork patrolling the paint … Active shot-contester …","Drummond wasn’t featured on the block that much as a freshman, and his post-game remains raw and unsure … Hasn’t mastered any go-to post moves, as the ones he converts are usually awkward and off-balance … Haven’t really seen a one-handed hook that most big men develop first, and seems to shoot with both hands on the ball all too often … The majority of his points come from the creativity of others, instead making them happen himself … If his playmakers are shut down, it’s possible Drummond will disappear through stretches, or even games … Only attempted 2.6 free throws per game, and shot an appalling 29% from the line… Not much range on jumper with a low release right in front of his face … Maturity issues, level of commitment and the need for vast offensive development could be a cause for concern from GMs not looking to take a chance in the top 3-5 …",83,279,18.9
Austin Rivers,10,"A dynamic scorer that can effortlessly create offense for himself off the dribble … Has solid size for either guard position … Recently measured 6’5"" in shoes with a 6’7"" wingspan … Very quick with the ball in his hands … Has an extremely quick first step and the ball-handling ability to take advantage of it … Solid athlete, though he isn’t the type to play above the rim … Is more of a long jumper than a high jumper … Surprisingly adaptive in the air … Shows good body control despite smallish frame … Confident shooter with range that extends beyond the NBA three-point line … Quick trigger on the perimeter and doesn’t need a lot of space to get a good shot off … Shoots very well off the dribble or out of the triple-threat position … Very smooth ball-handling ability … Tough to stop in isolation situations … Excels at breaking down defenses with sharp and consecutive changes in speed and/or direction … Chases contact … Gets opposing big men in foul trouble and shoots a decent amount of free-throws (5.4 free-throws attempted per game) … Plays very well in pick-and-roll situations … Knows how to read and exploit the reactions of screened defenders … Is not afraid of pressure situations … Burned North Carolina earlier in the season with a deep game-winning three-pointer over the outstretched arm of center Tyler Zeller … Supremely confident … Plays with intensity on the floor … Can be an effective defender when he actually gets low in his stance and bodies-up his man … It isn’t uncommon to see him dramatically improve his defensive posture (and subsequently, his defensive effectiveness) late in close games … Comes from an NBA family … Father is ex-NBA point guard and current NBA coach Doc Rivers …","Is highly ball-dominant … Will likely need a team to be tailored around his ability to create off the dribble in order to play up to his potential offensively … Not a true point guard … Can get over-aggressive and mistake-prone at times when looking to get to the basket … Averaged 2.3 turnovers per game during his freshman season at Duke, against only 2.1 assists … While he can penetrate with the best of them, he currently lacks the sheer vision of a primary facilitator … Has done a good job of adding muscle to his thin frame, but needs to continue to become stronger … While he’s a creative finisher, he also has a tendency to rush shots around the rim … Shot 65.8% from the stripe, which is a very disappointing number for somebody that creates as much contact as Rivers does … Effort is usually underwhelming defensively … Doesn’t collect a ton of steals … Has been criticized for having a bit of an ego, though many people believe that this added confidence makes him a more dangerous player …",77,203,19.92
